region,comuna,cod_com,apruebo,rechazo,nulo,blanco,votos_validos,votos_totales
VALPARAISO,ALGARROBO,2564,0,0,0,0,0,0
METROPOLITANA SANTIAGO,ALHUE,2801,0,0,0,0,0,0
BIOBIO,ALTO BIOBIO,2674,0,0,0,0,0,0
ATACAMA,ALTO DEL CARMEN,2523,0,0,0,0,0,0
TARAPACA,ALTO HOSPICIO,2502,10,23,0,0,33,33
LOS LAGOS,ANCUD,2717,0,0,0,0,0,0
COQUIMBO,ANDACOLLO,2528,263,277,10,3,540,553
LA ARAUCANIA,ANGOL,2696,0,0,0,0,0,0
NA,ANTARTICA,2752,9,47,0,0,56,56
ANTOFAGASTA,ANTOFAGASTA,2508,0,0,0,0,0,0
BIOBIO,ANTUCO,2662,72,254,3,2,326,331
BIOBIO,ARAUCO,2655,0,0,0,0,0,0
ARICA Y PARINACOTA,ARICA,2822,100,168,8,1,268,277
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,AYSEN,2739,0,0,0,0,0,0
METROPOLITANA SANTIAGO,BUIN,2797,1136,1898,44,18,3034,3096
ÑUBLE,BULNES,2827,0,0,0,0,0,0
VALPARAISO,CABILDO,2554,0,0,0,0,0,0
NA,CABO DE HORNOS(EX-NAVARINO),2751,298,813,2,0,1111,1113
BIOBIO,CABRERO,2663,41,183,2,0,224,226
ANTOFAGASTA,CALAMA,2512,0,0,0,0,0,0
LOS LAGOS,CALBUCO,2708,0,0,0,0,0,0
ATACAMA,CALDERA,2518,0,0,0,0,0,0
VALPARAISO,CALERA,2559,0,0,0,0,0,0
METROPOLITANA SANTIAGO,CALERA DE TANGO,2798,0,0,0,0,0,0
VALPARAISO,CALLE LARGA,2550,0,0,0,0,0,0
ARICA Y PARINACOTA,CAMARONES,2823,0,0,0,0,0,0
TARAPACA,CAMIÑA,2504,0,0,0,0,0,0
COQUIMBO,CANELA,2533,0,0,0,0,0,0
BIOBIO,CAÑETE,2656,0,0,0,0,0,0
LA ARAUCANIA,CARAHUE,2676,0,0,0,0,0,0
VALPARAISO,CARTAGENA,2565,0,0,0,0,0,0
VALPARAISO,CASABLANCA,2542,0,0,0,0,0,0
LOS LAGOS,CASTRO,2716,0,0,0,0,0,0
VALPARAISO,CATEMU,2570,0,0,0,0,0,0
MAULE,CAUQUENES,2622,0,0,0,0,0,0
METROPOLITANA SANTIAGO,CERRILLOS,2759,143,222,8,3,365,376
METROPOLITANA SANTIAGO,CERRO NAVIA,2760,0,0,0,0,0,0
LOS LAGOS,CHAITEN,2733,0,0,0,0,0,0
MAULE,CHANCO,2623,0,0,0,0,0,0
ATACAMA,CHAÑARAL,2520,143,159,7,1,302,310
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,2603,0,0,0,0,0,0
BIOBIO,CHIGUAYANTE,2644,0,0,0,0,0,0
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CHILE CHICO,2745,0,0,0,0,0,0
ÑUBLE,CHILLAN,2826,112,259,2,1,371,374
ÑUBLE,CHILLAN VIEJO,2828,109,276,4,0,385,389
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,2604,60,154,1,0,214,215
LA ARAUCANIA,CHOLCHOL,2695,82,152,4,0,234,238
LOS LAGOS,CHONCHI,2718,0,0,0,0,0,0
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CISNES,2740,50,94,0,10,144,154
ÑUBLE,COBQUECURA,2836,68,122,1,2,190,193
LOS LAGOS,COCHAMO,2709,0,0,0,0,0,0
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,COCHRANE,2742,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,2580,0,0,0,0,0,0
ÑUBLE,COELEMU,2837,0,0,0,0,0,0
ÑUBLE,COIHUECO,2843,38,219,1,3,257,261
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,2581,0,0,0,0,0,0
MAULE,COLBUN,2635,0,0,0,0,0,0
TARAPACA,COLCHANE,2505,0,0,0,0,0,0
METROPOLITANA SANTIAGO,COLINA,2793,216,600,8,1,816,825
LA ARAUCANIA,COLLIPULLI,2697,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,2582,0,0,0,0,0,0
COQUIMBO,COMBARBALA,2537,0,0,0,0,0,0
BIOBIO,CONCEPCION,2642,94,102,3,3,196,202
METROPOLITANA SANTIAGO,CONCHALI,2761,91,90,2,2,181,185
VALPARAISO,CONCON,2543,0,0,0,0,0,0
MAULE,CONSTITUCION,2613,41,142,2,0,183,185
BIOBIO,CONTULMO,2657,0,0,0,0,0,0
ATACAMA,COPIAPO,2517,137,194,1,5,331,337
COQUIMBO,COQUIMBO,2527,0,0,0,0,0,0
BIOBIO,CORONEL,2643,0,0,0,0,0,0
LOS RIOS,CORRAL,2811,0,0,0,0,0,0
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,COYHAIQUE,2737,839,1716,32,19,2555,2606
LA ARAUCANIA,CUNCO,2677,46,154,1,0,200,201
LA ARAUCANIA,CURACAUTIN,2698,0,0,0,0,0,0
METROPOLITANA SANTIAGO,CURACAVI,2802,0,0,0,0,0,0
LOS LAGOS,CURACO DE VELEZ,2719,0,0,0,0,0,0
BIOBIO,CURANILAHUE,2658,0,0,0,0,0,0
LA ARAUCANIA,CURARREHUE,2678,0,0,0,0,0,0
MAULE,CUREPTO,2614,160,399,4,4,559,567
MAULE,CURICO,2625,498,1143,19,11,1641,1671
LOS LAGOS,DALCAHUE,2720,94,287,4,4,381,389
ATACAMA,DIEGO DE ALMAGRO,2521,175,178,7,2,353,362
LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,2583,0,0,0,0,0,0
METROPOLITANA SANTIAGO,EL BOSQUE,2762,91,89,0,2,180,182
ÑUBLE,EL CARMEN,2829,0,0,0,0,0,0
METROPOLITANA SANTIAGO,EL MONTE,2806,0,0,0,0,0,0
VALPARAISO,EL QUISCO,2566,0,0,0,0,0,0
VALPARAISO,EL TABO,2567,0,0,0,0,0,0
MAULE,EMPEDRADO,2615,0,0,0,0,0,0
LA ARAUCANIA,ERCILLA,2699,0,0,0,0,0,0
METROPOLITANA SANTIAGO,ESTACION CENTRAL,2763,576,714,16,15,1290,1321
BIOBIO,FLORIDA,2645,0,0,0,0,0,0
LA ARAUCANIA,FREIRE,2679,0,0,0,0,0,0
ATACAMA,FREIRINA,2524,0,0,0,0,0,0
LOS LAGOS,FRESIA,2710,0,0,0,0,0,0
LOS LAGOS,FRUTILLAR,2711,0,0,0,0,0,0
LOS LAGOS,FUTALEUFU,2734,0,0,0,0,0,0
LOS RIOS,FUTRONO,2819,0,0,0,0,0,0
LA ARAUCANIA,GALVARINO,2680,0,0,0,0,0,0
ARICA Y PARINACOTA,GENERAL LAGOS,2825,0,0,0,0,0,0
LA ARAUCANIA,GORBEA,2681,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,2584,0,0,0,0,0,0
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,GUAITECAS,2741,0,0,0,0,0,0
VALPARAISO,HIJUELAS,2560,0,0,0,0,0,0
LOS LAGOS,HUALAIHUE,2735,0,0,0,0,0,0
MAULE,HUALAÑE,2626,109,284,6,4,393,403
BIOBIO,HUALPEN,2653,131,225,10,0,356,366
BIOBIO,HUALQUI,2646,106,248,7,3,354,364
TARAPACA,HUARA,2506,165,494,8,1,659,668
ATACAMA,HUASCO,2525,0,0,0,0,0,0
METROPOLITANA SANTIAGO,HUECHURABA,2764,889,1273,36,10,2162,2208
COQUIMBO,ILLAPEL,2532,0,0,0,0,0,0
METROPOLITANA SANTIAGO,INDEPENDENCIA,2765,117,147,1,1,264,266
TARAPACA,IQUIQUE,2501,102,236,2,2,338,342
METROPOLITANA SANTIAGO,ISLA DE MAIPO,2807,0,0,0,0,0,0
VALPARAISO,ISLA DE PASCUA,2548,0,0,0,0,0,0
VALPARAISO,JUAN FERNANDEZ,2544,0,0,0,0,0,0
METROPOLITANA SANTIAGO,LA CISTERNA,2766,0,0,0,0,0,0
VALPARAISO,LA CRUZ,2561,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,2597,0,0,0,0,0,0
METROPOLITANA SANTIAGO,LA FLORIDA,2767,93,107,3,2,200,205
METROPOLITANA SANTIAGO,LA GRANJA,2768,0,0,0,0,0,0
COQUIMBO,LA HIGUERA,2529,0,0,0,0,0,0
VALPARAISO,LA LIGUA,2553,0,0,0,0,0,0
METROPOLITANA SANTIAGO,LA PINTANA,2769,906,1036,28,23,1942,1993
METROPOLITANA SANTIAGO,LA REINA,2770,240,408,2,3,648,653
COQUIMBO,LA SERENA,2526,188,204,11,5,392,408
LOS RIOS,LA UNION,2818,0,0,0,0,0,0
LOS RIOS,LAGO RANCO,2820,0,0,0,0,0,0
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,LAGO VERDE,2738,0,0,0,0,0,0
MAGALLANES Y LA ANTARTICA CHILENA,LAGUNA BLANCA,2748,88,160,3,2,248,253
BIOBIO,LAJA,2664,42,154,0,0,196,196
METROPOLITANA SANTIAGO,LAMPA,2794,0,0,0,0,0,0
LOS RIOS,LANCO,2812,100,205,3,3,305,311
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,2585,0,0,0,0,0,0
METROPOLITANA SANTIAGO,LAS CONDES,2771,381,1521,26,6,1902,1934
LA ARAUCANIA,LAUTARO,2682,0,0,0,0,0,0
BIOBIO,LEBU,2654,0,0,0,0,0,0
MAULE,LICANTEN,2627,0,0,0,0,0,0
VALPARAISO,LIMACHE,2576,0,0,0,0,0,0
MAULE,LINARES,2634,164,475,9,5,639,653
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,2598,0,0,0,0,0,0
VALPARAISO,LLAILLAY,2571,0,0,0,0,0,0
LOS LAGOS,LLANQUIHUE,2713,0,0,0,0,0,0
METROPOLITANA SANTIAGO,LO BARNECHEA,2772,54,283,3,1,337,341
METROPOLITANA SANTIAGO,LO ESPEJO,2773,115,120,2,0,235,237
METROPOLITANA SANTIAGO,LO PRADO,2774,111,109,2,2,220,224
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,2605,0,0,0,0,0,0
LA ARAUCANIA,LONCOCHE,2683,0,0,0,0,0,0
MAULE,LONGAVI,2636,53,319,1,3,372,376
LA ARAUCANIA,LONQUIMAY,2700,89,285,12,1,374,387
BIOBIO,LOS ALAMOS,2659,42,187,2,0,229,231
VALPARAISO,LOS ANDES,2549,143,190,2,2,333,337
BIOBIO,LOS ANGELES,2661,1598,6133,118,26,7731,7875
LOS RIOS,LOS LAGOS,2813,73,186,3,4,259,266
LOS LAGOS,LOS MUERMOS,2712,0,0,0,0,0,0
LA ARAUCANIA,LOS SAUCES,2701,0,0,0,0,0,0
COQUIMBO,LOS VILOS,2534,0,0,0,0,0,0
BIOBIO,LOTA,2647,0,0,0,0,0,0
LA ARAUCANIA,LUMACO,2702,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,2586,0,0,0,0,0,0
METROPOLITANA SANTIAGO,MACUL,2775,107,81,3,4,188,195
LOS RIOS,MAFIL,2814,0,0,0,0,0,0
METROPOLITANA SANTIAGO,MAIPU,2776,115,85,4,0,200,204
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,2587,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,2599,0,0,0,0,0,0
ANTOFAGASTA,MARIA ELENA,2516,0,0,0,0,0,0
METROPOLITANA SANTIAGO,MARIA PINTO,2803,0,0,0,0,0,0
LOS RIOS,MARIQUINA,2815,529,1387,29,13,1916,1958
MAULE,MAULE,2616,0,0,0,0,0,0
LOS LAGOS,MAULLIN,2714,0,0,0,0,0,0
ANTOFAGASTA,MEJILLONES,2509,128,206,3,0,334,337
LA ARAUCANIA,MELIPEUCO,2684,0,0,0,0,0,0
METROPOLITANA SANTIAGO,MELIPILLA,2800,0,0,0,0,0,0
MAULE,MOLINA,2628,77,116,4,0,193,197
COQUIMBO,MONTE PATRIA,2538,111,213,2,5,324,331
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,2588,369,608,12,7,977,996
BIOBIO,MULCHEN,2665,0,0,0,0,0,0
BIOBIO,"NACIMIENTO",2666,128,397,9,3,525,537
LIBERTADOR GENERAL BERNARDO O'HIGGINS,"NANCAGUA",2606,0,0,0,0,0,0
MAGALLANES Y LA ANTARTICA CHILENA,"NATALES",2756,4995,6765,214,109,11760,12083
LIBERTADOR GENERAL BERNARDO O'HIGGINS,"NAVIDAD",2600,0,0,0,0,0,0
BIOBIO,NEGRETE,2667,0,0,0,0,0,0
ÑUBLE,NINHUE,2838,0,0,0,0,0,0
VALPARAISO,NOGALES,2562,0,0,0,0,0,0
LA ARAUCANIA,NUEVA IMPERIAL,2685,0,0,0,0,0,0
ÑUBLE,ÑIQUEN,2844,0,0,0,0,0,0
METROPOLITANA SANTIAGO,ÑUÑOA,2777,0,0,0,0,0,0
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,O'HIGGINS,2743,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,2589,57,147,4,0,204,208
ANTOFAGASTA,OLLAGUE,2513,0,0,0,0,0,0
VALPARAISO,OLMUE,2577,0,0,0,0,0,0
LOS LAGOS,OSORNO,2726,49,103,2,2,152,156
COQUIMBO,OVALLE,2536,2400,3980,103,35,6380,6518
METROPOLITANA SANTIAGO,PADRE HURTADO,2808,0,0,0,0,0,0
LA ARAUCANIA,PADRE LAS CASAS,2686,0,0,0,0,0,0
NA,PAIHUANO,2530,0,0,0,0,0,0
LOS RIOS,PAILLACO,2816,0,0,0,0,0,0
METROPOLITANA SANTIAGO,PAINE,2799,0,0,0,0,0,0
LOS LAGOS,PALENA,2736,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,2607,0,0,0,0,0,0
LOS RIOS,PANGUIPULLI,2817,137,345,7,6,482,495
VALPARAISO,PANQUEHUE,2572,205,362,7,2,567,576
VALPARAISO,PAPUDO,2555,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,2601,0,0,0,0,0,0
MAULE,PARRAL,2637,47,174,1,0,221,222
METROPOLITANA SANTIAGO,PEDRO AGUIRRE CERDA,2778,0,0,0,0,0,0
MAULE,PELARCO,2617,0,0,0,0,0,0
