region,comuna,cod_com,apruebo,rechazo,nulo,blanco,votos_validos,votos_totales
VALPARAISO,ALGARROBO,2564,3540,6253,170,50,9793,10013
METROPOLITANA SANTIAGO,ALHUE,2801,1553,2843,86,31,4396,4513
BIOBIO,ALTO BIOBIO,2674,951,2300,98,77,3251,3426
ATACAMA,ALTO DEL CARMEN,2523,1132,2259,63,28,3391,3482
TARAPACA,ALTO HOSPICIO,2502,11350,28653,772,213,40003,40988
LOS LAGOS,ANCUD,2717,9966,21034,465,252,31000,31717
COQUIMBO,ANDACOLLO,2528,4276,4996,181,101,9272,9554
LA ARAUCANIA,ANGOL,2696,6865,28478,472,158,35343,35973
NA,ANTARTICA,2752,9,47,0,0,56,56
ANTOFAGASTA,ANTOFAGASTA,2508,66710,102786,3069,1067,169496,173632
BIOBIO,ANTUCO,2662,945,2659,67,26,3604,3697
BIOBIO,ARAUCO,2655,4853,15172,317,134,20025,20476
ARICA Y PARINACOTA,ARICA,2822,38186,76314,2687,759,114500,117946
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,AYSEN,2739,5094,8873,209,108,13967,14284
METROPOLITANA SANTIAGO,BUIN,2797,27020,44386,918,428,71406,72752
ÑUBLE,BULNES,2827,4003,12877,252,129,16880,17261
VALPARAISO,CABILDO,2554,5631,8445,224,118,14076,14418
NA,CABO DE HORNOS(EX-NAVARINO),2751,298,813,2,0,1111,1113
BIOBIO,CABRERO,2663,3391,13489,225,122,16880,17227
ANTOFAGASTA,CALAMA,2512,24190,58957,1614,416,83147,85177
LOS LAGOS,CALBUCO,2708,6599,18538,388,243,25137,25768
ATACAMA,CALDERA,2518,5351,6291,172,98,11642,11912
VALPARAISO,CALERA,2559,10778,14566,499,165,25344,26008
METROPOLITANA SANTIAGO,CALERA DE TANGO,2798,6319,11834,255,117,18153,18525
VALPARAISO,CALLE LARGA,2550,3708,6591,155,55,10299,10509
ARICA Y PARINACOTA,CAMARONES,2823,460,1123,28,6,1583,1617
TARAPACA,CAMIÑA,2504,172,1210,11,5,1382,1398
COQUIMBO,CANELA,2533,3224,3737,103,83,6961,7147
BIOBIO,CAÑETE,2656,4988,17304,301,156,22292,22749
LA ARAUCANIA,CARAHUE,2676,4192,12572,223,143,16764,17130
VALPARAISO,CARTAGENA,2565,4583,6450,215,72,11033,11320
VALPARAISO,CASABLANCA,2542,6247,12548,341,119,18795,19255
LOS LAGOS,CASTRO,2716,11439,18923,493,255,30362,31110
VALPARAISO,CATEMU,2570,3093,6365,128,76,9458,9662
MAULE,CAUQUENES,2622,4553,20131,299,134,24684,25117
METROPOLITANA SANTIAGO,CERRILLOS,2759,20546,23439,666,271,43985,44922
METROPOLITANA SANTIAGO,CERRO NAVIA,2760,38605,41954,1341,489,80559,82389
