region,comuna,cod_com,apruebo,rechazo,nulo,blanco,votos_validos,votos_totales
MAULE,LINARES,2634,14737,35504,651,224,50241,51116
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,2598,1814,3435,101,48,5249,5398
VALPARAISO,LLAILLAY,2571,3754,4631,143,48,8385,8576
LOS LAGOS,LLANQUIHUE,2713,2689,6821,128,55,9510,9693
METROPOLITANA SANTIAGO,LO BARNECHEA,2772,10116,52343,461,178,62459,63098
METROPOLITANA SANTIAGO,LO ESPEJO,2773,25001,25149,922,322,50150,51394
METROPOLITANA SANTIAGO,LO PRADO,2774,26212,26383,873,270,52595,53738
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,2605,975,2857,43,34,3832,3909
LA ARAUCANIA,LONCOCHE,2683,3859,10339,259,101,14198,14558
MAULE,LONGAVI,2636,4352,18542,282,118,22894,23294
LA ARAUCANIA,LONQUIMAY,2700,1170,4245,98,37,5415,5550
BIOBIO,LOS ALAMOS,2659,2026,8911,201,53,10937,11191
VALPARAISO,LOS ANDES,2549,14111,21491,550,186,35602,36338
BIOBIO,LOS ANGELES,2661,20522,79884,1192,455,100406,102053
LOS RIOS,LOS LAGOS,2813,2438,7858,101,68,10296,10465
LOS LAGOS,LOS MUERMOS,2712,1737,8807,136,106,10544,10786
LA ARAUCANIA,LOS SAUCES,2701,845,4535,63,37,5380,5480
COQUIMBO,LOS VILOS,2534,5474,7294,239,99,12768,13106
BIOBIO,LOTA,2647,9961,21818,606,176,31779,32561
LA ARAUCANIA,LUMACO,2702,1203,5331,69,29,6534,6632
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,2586,9881,16991,412,131,26872,27415
METROPOLITANA SANTIAGO,MACUL,2775,28616,28409,883,308,57025,58216
LOS RIOS,MAFIL,2814,1091,3677,60,29,4768,4857
METROPOLITANA SANTIAGO,MAIPU,2776,146575,139994,4374,1340,286569,292283
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,2587,2989,7917,125,74,10906,11105
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,2599,1561,3319,84,48,4880,5012
ANTOFAGASTA,MARIA ELENA,2516,974,1486,68,15,2460,2543
METROPOLITANA SANTIAGO,MARIA PINTO,2803,2374,3752,83,37,6126,6246
LOS RIOS,MARIQUINA,2815,3639,9297,132,88,12936,13156
MAULE,MAULE,2616,5808,15850,359,98,21658,22115
LOS LAGOS,MAULLIN,2714,2474,6845,137,103,9319,9559
ANTOFAGASTA,MEJILLONES,2509,2464,3513,74,38,5977,6089
LA ARAUCANIA,MELIPEUCO,2684,1244,3781,93,52,5025,5170
METROPOLITANA SANTIAGO,MELIPILLA,2800,21123,40404,922,395,61527,62844
MAULE,MOLINA,2628,9438,19823,453,147,29261,29861
COQUIMBO,MONTE PATRIA,2538,5708,12506,291,145,18214,18650
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,2588,6209,9862,272,119,16071,16462
BIOBIO,MULCHEN,2665,3920,12944,233,115,16864,17212
BIOBIO,"NACIMIENTO",2666,4621,15515,255,140,20136,20531
LIBERTADOR GENERAL BERNARDO O'HIGGINS,"NANCAGUA",2606,3445,7687,144,84,11132,11360
MAGALLANES Y LA ANTARTICA CHILENA,"NATALES",2756,6360,9013,274,142,15373,15789
LIBERTADOR GENERAL BERNARDO O'HIGGINS,"NAVIDAD",2600,2253,3220,134,67,5473,5674
BIOBIO,NEGRETE,2667,864,4634,95,31,5498,5624
ÑUBLE,NINHUE,2838,939,3682,90,32,4621,4743
VALPARAISO,NOGALES,2562,4933,7086,210,95,12019,12324
LA ARAUCANIA,NUEVA IMPERIAL,2685,5079,12267,276,103,17346,17725
ÑUBLE,ÑIQUEN,2844,1491,7049,112,41,8540,8693
METROPOLITANA SANTIAGO,ÑUÑOA,2777,62710,61627,1469,570,124337,126376
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,O'HIGGINS,2743,70,149,1,2,219,222
LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,2589,3322,7828,215,87,11150,11452
ANTOFAGASTA,OLLAGUE,2513,77,322,3,0,399,402
VALPARAISO,OLMUE,2577,3335,6588,220,63,9923,10206
LOS LAGOS,OSORNO,2726,27305,54133,1277,420,81438,83135
COQUIMBO,OVALLE,2536,21486,38464,994,445,59950,61389
METROPOLITANA SANTIAGO,PADRE HURTADO,2808,14461,17240,471,149,31701,32321
LA ARAUCANIA,PADRE LAS CASAS,2686,9771,25882,614,224,35653,36491
NA,PAIHUANO,2530,1204,2140,52,22,3344,3418
LOS RIOS,PAILLACO,2816,2691,7890,120,64,10581,10765
METROPOLITANA SANTIAGO,PAINE,2799,13723,23247,545,216,36970,37731
LOS LAGOS,PALENA,2736,407,973,9,13,1380,1402
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,2607,2171,5512,90,49,7683,7822
LOS RIOS,PANGUIPULLI,2817,6689,18836,462,213,25525,26200
VALPARAISO,PANQUEHUE,2572,1884,3456,66,31,5340,5437
VALPARAISO,PAPUDO,2555,1174,1869,27,21,3043,3091
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PAREDONES,2601,2120,4154,78,57,6274,6409
MAULE,PARRAL,2637,7430,24491,370,149,31921,32440
METROPOLITANA SANTIAGO,PEDRO AGUIRRE CERDA,2778,30208,24954,987,283,55162,56432
MAULE,PELARCO,2617,1372,4910,94,30,6282,6406
MAULE,PELLUHUE,2624,1622,5092,101,27,6714,6842
ÑUBLE,PEMUCO,2830,1197,3510,69,27,4707,4803
MAULE,PENCAHUE,2618,1914,6653,85,42,8567,8694
BIOBIO,PENCO,2648,10638,17343,468,160,27981,28609
METROPOLITANA SANTIAGO,PEÑAFLOR,2809,19261,21785,678,216,41046,41940
METROPOLITANA SANTIAGO,PEÑALOLEN,2779,40115,43756,1356,516,83871,85743
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,2608,2062,4791,110,52,6853,7015
LA ARAUCANIA,PERQUENCO,2687,431,1289,29,14,1720,1763
VALPARAISO,PETORCA,2556,2258,2940,112,60,5198,5370
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PEUMO,2590,2860,5191,91,63,8051,8205
TARAPACA,PICA,2507,593,1324,23,17,1917,1957
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHIDEGUA,2591,3559,8649,134,72,12208,12414
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PICHILEMU,2596,3173,5033,146,52,8206,8404
ÑUBLE,PINTO,2831,1456,7295,109,47,8751,8907
METROPOLITANA SANTIAGO,PIRQUE,2791,6239,8698,216,97,14937,15250
LA ARAUCANIA,PITRUFQUEN,2688,2717,8047,158,71,10764,10993
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,2609,1951,5001,99,54,6952,7105
ÑUBLE,PORTEZUELO,2839,1172,3666,61,27,4838,4926
MAGALLANES Y LA ANTARTICA CHILENA,PORVENIR,2753,1543,2233,51,22,3776,3849
TARAPACA,POZO ALMONTE,2503,1142,3320,66,16,4462,4544
MAGALLANES Y LA ANTARTICA CHILENA,PRIMAVERA,2754,213,289,1,3,502,506
METROPOLITANA SANTIAGO,PROVIDENCIA,2780,42817,61629,1072,541,104446,106059
VALPARAISO,PUCHUNCAVI,2545,4042,5403,189,54,9445,9688
LA ARAUCANIA,PUCON,2689,5939,12192,337,118,18131,18586
METROPOLITANA SANTIAGO,PUDAHUEL,2781,53542,54714,1882,536,108256,110674
METROPOLITANA SANTIAGO,PUENTE ALTO,2790,140998,134924,5250,1386,275922,282558
LOS LAGOS,PUERTO MONTT,2707,33753,73758,1576,665,107511,109752
LOS LAGOS,PUERTO OCTAY,2727,1586,3411,79,33,4997,5109
LOS LAGOS,PUERTO VARAS,2715,7163,17355,293,110,24518,24921
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,2610,1085,2656,42,26,3741,3809
COQUIMBO,PUNITAQUI,2539,2682,5403,150,70,8085,8305
MAGALLANES Y LA ANTARTICA CHILENA,PUNTA ARENAS,2747,36766,54432,1644,689,91198,93531
LOS LAGOS,PUQUELDON,2721,946,2317,42,49,3263,3354
LA ARAUCANIA,PUREN,2703,1587,6318,117,49,7905,8071
LOS LAGOS,PURRANQUE,2728,3335,9661,157,88,12996,13241
VALPARAISO,PUTAENDO,2573,3976,6073,147,82,10049,10278
ARICA Y PARINACOTA,PUTRE,2824,463,1604,29,10,2067,2106
LOS LAGOS,PUYEHUE,2729,1093,3191,59,28,4284,4371
LOS LAGOS,QUEILEN,2722,1385,2972,57,57,4357,4471
LOS LAGOS,QUELLON,2723,4150,10887,206,157,15037,15400
LOS LAGOS,QUEMCHI,2724,1672,3572,94,99,5244,5437
BIOBIO,QUILACO,2668,713,2379,20,18,3092,3130
METROPOLITANA SANTIAGO,QUILICURA,2782,42798,46138,1579,572,88936,91087
BIOBIO,QUILLECO,2669,1127,5022,83,38,6149,6270
ÑUBLE,QUILLON,2832,2284,7627,122,88,9911,10121
VALPARAISO,QUILLOTA,2558,13787,23162,657,199,36949,37805
VALPARAISO,QUILPUE,2575,36648,47250,1708,520,83898,86126
LOS LAGOS,QUINCHAO,2725,2271,3753,113,91,6024,6228
LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,2592,3758,7521,170,102,11279,11551
METROPOLITANA SANTIAGO,QUINTA NORMAL,2783,22990,23828,792,256,46818,47866
VALPARAISO,QUINTERO,2546,6233,8673,336,123,14906,15365
ÑUBLE,QUIRIHUE,2835,2246,6723,147,59,8969,9175
LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,2579,53118,81348,2240,654,134466,137360
ÑUBLE,RANQUIL,2840,1142,3608,75,24,4750,4849
MAULE,RAUCO,2629,2106,6693,173,55,8799,9027
METROPOLITANA SANTIAGO,RECOLETA,2784,38359,41097,1354,541,79456,81351
LA ARAUCANIA,RENAICO,2704,1125,4806,70,32,5931,6033
METROPOLITANA SANTIAGO,RENCA,2785,33967,34897,1180,409,68864,70453
LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,2593,12734,24423,542,247,37157,37946
LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUINOA,2594,5948,14883,248,105,20831,21184
MAULE,RETIRO,2638,2766,13380,193,99,16146,16438
VALPARAISO,RINCONADA,2551,2583,4533,63,49,7116,7228
LOS RIOS,RIO BUENO,2821,5222,14605,268,133,19827,20228
MAULE,RIO CLARO,2619,2127,7157,116,60,9284,9460
COQUIMBO,RIO HURTADO,2540,910,2121,69,31,3031,3131
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,RIO IBAÑEZ,2746,747,1459,29,17,2206,2252
LOS LAGOS,RIO NEGRO,2730,2152,6316,122,49,8468,8639
MAGALLANES Y LA ANTARTICA CHILENA,RIO VERDE,2749,115,322,2,3,437,442
MAULE,ROMERAL,2630,2792,8316,141,59,11108,11308
LA ARAUCANIA,SAAVEDRA,2690,1437,3087,82,37,4524,4643
MAULE,SAGRADA FAMILIA,2631,4111,10594,142,83,14705,14930
COQUIMBO,SALAMANCA,2535,3471,5790,124,93,9261,9478
VALPARAISO,SAN ANTONIO,2563,20268,20303,708,215,40571,41494
METROPOLITANA SANTIAGO,SAN BERNARDO,2796,64242,81007,2370,791,145249,148410
ÑUBLE,SAN CARLOS,2842,7197,26108,475,159,33305,33939
MAULE,SAN CLEMENTE,2620,6800,21510,373,172,28310,28855
VALPARAISO,SAN ESTEBAN,2552,4283,8411,192,86,12694,12972
ÑUBLE,SAN FABIAN,2845,1087,2886,43,25,3973,4041
VALPARAISO,SAN FELIPE,2569,15589,23675,632,277,39264,40173
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,2602,12526,23567,511,197,36093,36801
MAGALLANES Y LA ANTARTICA CHILENA,SAN GREGORIO,2750,107,260,6,5,367,378
ÑUBLE,SAN IGNACIO,2833,1978,9161,115,56,11139,11310
MAULE,SAN JAVIER,2639,7763,24070,449,161,31833,32443
METROPOLITANA SANTIAGO,SAN JOAQUIN,2786,22478,19103,854,245,41581,42680
METROPOLITANA SANTIAGO,SAN JOSE DE MAIPO,2792,5605,5971,181,68,11576,11825
LOS LAGOS,SAN JUAN DE LA COSTA,2731,1671,3132,62,44,4803,4909
METROPOLITANA SANTIAGO,SAN MIGUEL,2787,34706,34624,933,339,69330,70602
ÑUBLE,SAN NICOLAS,2846,2392,8032,140,68,10424,10632
LOS LAGOS,SAN PABLO,2732,1268,2817,59,20,4085,4164
METROPOLITANA SANTIAGO,SAN PEDRO,2804,1558,3663,64,37,5221,5322
ANTOFAGASTA,SAN PEDRO DE ATACAMA,2514,1317,1523,50,20,2840,2910
BIOBIO,SAN PEDRO DE LA PAZ,2649,18822,36094,705,286,54916,55907
MAULE,SAN RAFAEL,2621,1542,4890,69,40,6432,6541
METROPOLITANA SANTIAGO,SAN RAMON,2788,19109,20849,761,244,39958,40963
BIOBIO,SAN ROSENDO,2670,842,1672,30,11,2514,2555
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN VICENTE,2595,9809,18491,420,193,28300,28913
BIOBIO,SANTA BARBARA,2671,1426,5593,109,47,7019,7175
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,2611,6029,14449,279,143,20478,20900
BIOBIO,SANTA JUANA,2650,2109,7037,117,61,9146,9324
VALPARAISO,SANTA MARIA,2574,3256,7180,130,84,10436,10650
METROPOLITANA SANTIAGO,SANTIAGO,2758,83562,97085,2521,1145,180647,184313
VALPARAISO,SANTO DOMINGO,2568,2385,5203,94,53,7588,7735
ANTOFAGASTA,SIERRA GORDA,2510,501,1029,18,5,1530,1553
METROPOLITANA SANTIAGO,TALAGANTE,2805,13813,19410,491,166,33223,33880
MAULE,TALCA,2612,46190,81534,1641,570,127724,129935
BIOBIO,TALCAHUANO,2651,29004,53912,1424,448,82916,84788
ANTOFAGASTA,TALTAL,2511,2026,2850,81,41,4876,4998
LA ARAUCANIA,TEMUCO,2675,40569,92630,1774,676,133199,135649
MAULE,TENO,2632,5388,16740,378,113,22128,22619
LA ARAUCANIA,TEODORO SCHMIDT,2691,2193,7315,159,94,9508,9761
ATACAMA,TIERRA AMARILLA,2519,3303,6160,193,62,9463,9718
METROPOLITANA SANTIAGO,TILTIL,2795,3757,5996,192,52,9753,9997
MAGALLANES Y LA ANTARTICA CHILENA,TIMAUKEL,2755,49,160,3,0,209,212
BIOBIO,TIRUA,2660,1585,5331,117,47,6916,7080
ANTOFAGASTA,TOCOPILLA,2515,5020,7279,278,69,12299,12646
LA ARAUCANIA,TOLTEN,2692,1575,5251,92,37,6826,6955
BIOBIO,TOME,2652,10997,22364,506,207,33361,34074
MAGALLANES Y LA ANTARTICA CHILENA,TORRES DEL PAINE,2757,345,774,16,9,1119,1144
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,TORTEL,2744,171,236,8,3,407,418
LA ARAUCANIA,TRAIGUEN,2705,2925,10578,166,95,13503,13764
ÑUBLE,TREHUACO,2841,1117,3850,42,29,4967,5038
BIOBIO,TUCAPEL,2672,2196,7009,138,55,9205,9398
LOS RIOS,VALDIVIA,2810,28440,38858,946,484,67298,68728
ATACAMA,VALLENAR,2522,9802,15351,526,216,25153,25895
VALPARAISO,VALPARAISO,2541,74706,75409,2831,919,150115,153865
MAULE,VICHUQUEN,2633,942,2079,29,27,3021,3077
LA ARAUCANIA,VICTORIA,2706,3234,13004,188,86,16238,16512
COQUIMBO,VICUÑA,2531,5011,8954,233,124,13965,14322
LA ARAUCANIA,VILCUN,2693,3193,11267,256,108,14460,14824
MAULE,VILLA ALEGRE,2640,2412,8528,176,79,10940,11195
VALPARAISO,VILLA ALEMANA,2578,27573,37647,1400,377,65220,66997
LA ARAUCANIA,VILLARRICA,2694,10347,23996,646,221,34343,35210
VALPARAISO,VIÑA DEL MAR,2547,80133,107799,3197,1200,187932,192329
METROPOLITANA SANTIAGO,VITACURA,2789,7661,47132,451,188,54793,55432
MAULE,YERBAS BUENAS,2641,2425,9699,155,58,12124,12337
BIOBIO,YUMBEL,2673,2533,7363,117,78,9896,10091
ÑUBLE,YUNGAY,2834,2883,7055,165,79,9938,10182
VALPARAISO,ZAPALLAR,2557,2204,4186,86,33,6390,6509
Extranjero,ALEMANIA,NA,3255,1162,11,14,NA,NA
Extranjero,ARGENTINA,NA,3088,1684,47,31,NA,NA
Extranjero,AUSTRALIA,NA,2600,1295,13,10,NA,NA
Extranjero,AUSTRIA,NA,251,112,1,1,NA,NA
Extranjero,BELGICA,NA,787,174,5,0,NA,NA
Extranjero,BOLIVIA,NA,0,0,0,0,NA,NA
Extranjero,BRASIL,NA,561,492,3,0,NA,NA
Extranjero,CANADA,NA,0,0,0,0,NA,NA
Extranjero,COLOMBIA,NA,0,0,0,0,NA,NA
Extranjero,COREA,NA,58,33,1,0,NA,NA
Extranjero,COSTA RICA,NA,0,0,0,0,NA,NA
