region,comuna,cod_com,apruebo,rechazo,nulo,blanco,votos_validos,votos_totales
VALPARAISO,ALGARROBO,2564,2800,4944,142,36,7744,7922
METROPOLITANA SANTIAGO,ALHUE,2801,1327,2404,76,28,3731,3835
BIOBIO,ALTO BIOBIO,2674,490,1220,52,43,1710,1805
ATACAMA,ALTO DEL CARMEN,2523,825,1612,50,18,2437,2505
TARAPACA,ALTO HOSPICIO,2502,8787,21981,597,164,30768,31529
LOS LAGOS,ANCUD,2717,9158,19222,408,236,28380,29024
COQUIMBO,ANDACOLLO,2528,3342,3874,139,65,7216,7420
LA ARAUCANIA,ANGOL,2696,5809,24078,376,135,29887,30398
NA,ANTARTICA,2752,9,47,0,0,56,56
ANTOFAGASTA,ANTOFAGASTA,2508,46739,72550,2173,744,119289,122206
BIOBIO,ANTUCO,2662,793,2200,56,22,2993,3071
BIOBIO,ARAUCO,2655,3928,12479,240,106,16407,16753
ARICA Y PARINACOTA,ARICA,2822,27148,54291,1870,520,81439,83829
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,AYSEN,2739,3885,6951,175,87,10836,11098
METROPOLITANA SANTIAGO,BUIN,2797,22634,37177,774,351,59811,60936
ÑUBLE,BULNES,2827,3387,11383,217,113,14770,15100
VALPARAISO,CABILDO,2554,4638,6942,187,100,11580,11867
NA,CABO DE HORNOS(EX-NAVARINO),2751,298,813,2,0,1111,1113
BIOBIO,CABRERO,2663,2789,11071,188,98,13860,14146
ANTOFAGASTA,CALAMA,2512,18214,44377,1209,321,62591,64121
LOS LAGOS,CALBUCO,2708,5224,15499,312,216,20723,21251
ATACAMA,CALDERA,2518,4302,5021,144,77,9323,9544
VALPARAISO,CALERA,2559,8041,10916,386,120,18957,19463
METROPOLITANA SANTIAGO,CALERA DE TANGO,2798,5055,9525,189,89,14580,14858
VALPARAISO,CALLE LARGA,2550,3445,6135,145,49,9580,9774
ARICA Y PARINACOTA,CAMARONES,2823,371,919,22,4,1290,1316
TARAPACA,CAMIÑA,2504,172,1210,11,5,1382,1398
COQUIMBO,CANELA,2533,2678,3090,89,71,5768,5928
BIOBIO,CAÑETE,2656,4318,14887,250,129,19205,19584
LA ARAUCANIA,CARAHUE,2676,3488,10501,165,113,13989,14267
VALPARAISO,CARTAGENA,2565,3620,5011,177,53,8631,8861
VALPARAISO,CASABLANCA,2542,4805,9928,267,95,14733,15095
LOS LAGOS,CASTRO,2716,9608,16228,407,212,25836,26455
VALPARAISO,CATEMU,2570,2672,5469,103,65,8141,8309
MAULE,CAUQUENES,2622,3881,16993,240,104,20874,21218
METROPOLITANA SANTIAGO,CERRILLOS,2759,16793,18961,533,219,35754,36506
METROPOLITANA SANTIAGO,CERRO NAVIA,2760,28251,30528,958,350,58779,60087
LOS LAGOS,CHAITEN,2733,803,2093,28,43,2896,2967
MAULE,CHANCO,2623,1241,4797,62,33,6038,6133
ATACAMA,CHAÑARAL,2520,4050,4294,140,56,8344,8540
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,2603,2717,8534,135,71,11251,11457
BIOBIO,CHIGUAYANTE,2644,16687,26457,817,252,43144,44213
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CHILE CHICO,2745,1355,1820,38,31,3175,3244
ÑUBLE,CHILLAN,2826,32059,69961,1350,508,102020,103878
ÑUBLE,CHILLAN VIEJO,2828,3320,8037,159,49,11357,11565
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,2604,6081,15457,311,147,21538,21996
LA ARAUCANIA,CHOLCHOL,2695,2015,5782,155,57,7797,8009
LOS LAGOS,CHONCHI,2718,2947,5852,97,56,8799,8952
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CISNES,2740,843,1395,17,31,2238,2286
ÑUBLE,COBQUECURA,2836,1017,3025,56,19,4042,4117
LOS LAGOS,COCHAMO,2709,557,1900,38,20,2457,2515
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,COCHRANE,2742,521,906,34,16,1427,1477
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,2580,3224,6404,162,73,9628,9863
ÑUBLE,COELEMU,2837,2895,9108,136,73,12003,12212
ÑUBLE,COIHUECO,2843,2898,13174,170,83,16072,16325
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,2581,1940,3967,115,57,5907,6079
MAULE,COLBUN,2635,3630,10570,185,95,14200,14480
TARAPACA,COLCHANE,2505,95,1696,26,0,1791,1817
METROPOLITANA SANTIAGO,COLINA,2793,17661,49376,658,309,67037,68004
LA ARAUCANIA,COLLIPULLI,2697,2791,12358,228,103,15149,15480
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,2582,3761,8456,185,93,12217,12495
COQUIMBO,COMBARBALA,2537,2700,4415,190,103,7115,7408
BIOBIO,CONCEPCION,2642,44197,69414,1578,574,113611,115763
METROPOLITANA SANTIAGO,CONCHALI,2761,32533,33721,1175,412,66254,67841
VALPARAISO,CONCON,2543,8898,17055,368,145,25953,26466
MAULE,CONSTITUCION,2613,7999,21981,504,200,29980,30684
BIOBIO,CONTULMO,2657,721,3209,46,30,3930,4006
ATACAMA,COPIAPO,2517,25410,39134,985,423,64544,65952
COQUIMBO,COQUIMBO,2527,37546,51948,1853,728,89494,92075
BIOBIO,CORONEL,2643,19041,39404,982,303,58445,59730
LOS RIOS,CORRAL,2811,976,1494,35,22,2470,2527
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,COYHAIQUE,2737,9018,16611,302,200,25629,26131
LA ARAUCANIA,CUNCO,2677,3222,9785,202,89,13007,13298
LA ARAUCANIA,CURACAUTIN,2698,2348,9210,156,60,11558,11774
METROPOLITANA SANTIAGO,CURACAVI,2802,6636,9669,206,121,16305,16632
LOS LAGOS,CURACO DE VELEZ,2719,688,1612,42,45,2300,2387
BIOBIO,CURANILAHUE,2658,3982,11828,253,103,15810,16166
LA ARAUCANIA,CURARREHUE,2678,1096,3185,74,32,4281,4387
MAULE,CUREPTO,2614,2558,5917,165,80,8475,8720
MAULE,CURICO,2625,32788,65199,1384,563,97987,99934
LOS LAGOS,DALCAHUE,2720,2870,6910,120,93,9780,9993
ATACAMA,DIEGO DE ALMAGRO,2521,3407,3731,154,51,7138,7343
LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,2583,5286,9251,255,91,14537,14883
METROPOLITANA SANTIAGO,EL BOSQUE,2762,37253,44071,1242,485,81324,83051
ÑUBLE,EL CARMEN,2829,1494,5996,75,41,7490,7606
METROPOLITANA SANTIAGO,EL MONTE,2806,4970,7712,177,75,12682,12934
VALPARAISO,EL QUISCO,2566,2789,3330,129,25,6119,6273
VALPARAISO,EL TABO,2567,3976,4353,133,47,8329,8509
MAULE,EMPEDRADO,2615,673,2561,29,17,3234,3280
LA ARAUCANIA,ERCILLA,2699,980,2778,74,40,3758,3872
METROPOLITANA SANTIAGO,ESTACION CENTRAL,2763,29161,32204,1010,432,61365,62807
BIOBIO,FLORIDA,2645,1937,6970,109,71,8907,9087
LA ARAUCANIA,FREIRE,2679,3544,10760,258,101,14304,14663
ATACAMA,FREIRINA,2524,1849,2205,56,42,4054,4152
LOS LAGOS,FRESIA,2710,2248,6534,89,89,8782,8960
LOS LAGOS,FRUTILLAR,2711,2697,7809,141,81,10506,10728
LOS LAGOS,FUTALEUFU,2734,450,1144,30,18,1594,1642
LOS RIOS,FUTRONO,2819,2114,7395,101,75,9509,9685
LA ARAUCANIA,GALVARINO,2680,1950,5914,132,79,7864,8075
ARICA Y PARINACOTA,GENERAL LAGOS,2825,92,647,19,4,739,762
LA ARAUCANIA,GORBEA,2681,2192,7768,129,74,9960,10163
LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,2584,7846,12525,276,133,20371,20780
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,GUAITECAS,2741,202,356,5,5,558,568
VALPARAISO,HIJUELAS,2560,3343,7441,210,65,10784,11059
LOS LAGOS,HUALAIHUE,2735,1364,3701,86,55,5065,5206
MAULE,HUALAÑE,2626,2457,5094,136,67,7551,7754
BIOBIO,HUALPEN,2653,20994,33679,984,318,54673,55975
BIOBIO,HUALQUI,2646,3836,9416,231,84,13252,13567
TARAPACA,HUARA,2506,571,1850,35,7,2421,2463
ATACAMA,HUASCO,2525,2691,2988,93,45,5679,5817
METROPOLITANA SANTIAGO,HUECHURABA,2764,21601,27103,669,245,48704,49618
COQUIMBO,ILLAPEL,2532,5575,7755,224,124,13330,13678
METROPOLITANA SANTIAGO,INDEPENDENCIA,2765,20472,26015,806,325,46487,47618
TARAPACA,IQUIQUE,2501,27701,53198,1307,441,80899,82647
METROPOLITANA SANTIAGO,ISLA DE MAIPO,2807,5830,10037,226,70,15867,16163
VALPARAISO,ISLA DE PASCUA,2548,0,0,0,0,0,0
VALPARAISO,JUAN FERNANDEZ,2544,171,120,5,3,291,299
METROPOLITANA SANTIAGO,LA CISTERNA,2766,22453,25845,761,277,48298,49336
VALPARAISO,LA CRUZ,2561,2235,3882,124,29,6117,6270
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,2597,1114,2035,58,18,3149,3225
METROPOLITANA SANTIAGO,LA FLORIDA,2767,85633,85772,2894,892,171405,175191
METROPOLITANA SANTIAGO,LA GRANJA,2768,31134,31364,1310,391,62498,64199
COQUIMBO,LA HIGUERA,2529,849,1244,33,18,2093,2144
VALPARAISO,LA LIGUA,2553,4373,6231,151,77,10604,10832
METROPOLITANA SANTIAGO,LA PINTANA,2769,33765,39073,1220,459,72838,74517
METROPOLITANA SANTIAGO,LA REINA,2770,18893,28832,563,277,47725,48565
COQUIMBO,LA SERENA,2526,43457,58257,1819,635,101714,104168
LOS RIOS,LA UNION,2818,7853,20782,381,193,28635,29209
LOS RIOS,LAGO RANCO,2820,1323,4231,115,52,5554,5721
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,LAGO VERDE,2738,249,533,13,9,782,804
MAGALLANES Y LA ANTARTICA CHILENA,LAGUNA BLANCA,2748,158,347,4,3,505,512
BIOBIO,LAJA,2664,4245,11638,179,131,15883,16193
METROPOLITANA SANTIAGO,LAMPA,2794,12365,20590,464,175,32955,33594
LOS RIOS,LANCO,2812,3585,7884,220,107,11469,11796
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,2585,4113,8762,150,114,12875,13139
METROPOLITANA SANTIAGO,LAS CONDES,2771,41010,151186,1829,888,192196,194913
LA ARAUCANIA,LAUTARO,2682,4762,15596,331,120,20358,20809
BIOBIO,LEBU,2654,2749,8950,163,96,11699,11958
MAULE,LICANTEN,2627,1676,3382,67,29,5058,5154
VALPARAISO,LIMACHE,2576,8118,13985,418,151,22103,22672
