region,comuna,cod_com,apruebo,rechazo,nulo,blanco,votos_validos,votos_totales
VALPARAISO,ALGARROBO,2564,703,1253,32,15,1956,2003
METROPOLITANA SANTIAGO,ALHUE,2801,237,481,11,6,718,735
BIOBIO,ALTO BIOBIO,2674,0,0,0,0,0,0
ATACAMA,ALTO DEL CARMEN,2523,95,149,4,3,244,251
TARAPACA,ALTO HOSPICIO,2502,1778,4490,98,35,6268,6401
LOS LAGOS,ANCUD,2717,3621,7476,161,99,11097,11357
COQUIMBO,ANDACOLLO,2528,1320,1454,58,25,2774,2857
LA ARAUCANIA,ANGOL,2696,1230,4951,67,21,6181,6269
NA,ANTARTICA,2752,9,47,0,0,56,56
ANTOFAGASTA,ANTOFAGASTA,2508,7956,12162,380,124,20118,20622
BIOBIO,ANTUCO,2662,259,693,16,7,952,975
BIOBIO,ARAUCO,2655,1406,4654,85,43,6060,6188
ARICA Y PARINACOTA,ARICA,2822,5859,11546,378,96,17405,17879
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,AYSEN,2739,1466,2447,69,22,3913,4004
METROPOLITANA SANTIAGO,BUIN,2797,7714,12679,257,112,20393,20762
ÑUBLE,BULNES,2827,1290,4310,81,47,5600,5728
VALPARAISO,CABILDO,2554,1117,1492,34,24,2609,2667
NA,CABO DE HORNOS(EX-NAVARINO),2751,298,813,2,0,1111,1113
BIOBIO,CABRERO,2663,938,3582,42,45,4520,4607
ANTOFAGASTA,CALAMA,2512,5424,13464,324,97,18888,19309
LOS LAGOS,CALBUCO,2708,1625,5317,118,83,6942,7143
ATACAMA,CALDERA,2518,986,1134,35,16,2120,2171
VALPARAISO,CALERA,2559,1557,2177,60,25,3734,3819
METROPOLITANA SANTIAGO,CALERA DE TANGO,2798,1337,2491,53,23,3828,3904
VALPARAISO,CALLE LARGA,2550,1474,2581,64,18,4055,4137
ARICA Y PARINACOTA,CAMARONES,2823,0,0,0,0,0,0
TARAPACA,CAMIÑA,2504,0,0,0,0,0,0
COQUIMBO,CANELA,2533,1482,1676,38,40,3158,3236
BIOBIO,CAÑETE,2656,943,3328,45,22,4271,4338
LA ARAUCANIA,CARAHUE,2676,1004,3136,63,28,4140,4231
VALPARAISO,CARTAGENA,2565,731,936,37,14,1667,1718
VALPARAISO,CASABLANCA,2542,1495,3249,73,33,4744,4850
LOS LAGOS,CASTRO,2716,2585,4219,120,50,6804,6974
VALPARAISO,CATEMU,2570,1072,2154,32,24,3226,3282
MAULE,CAUQUENES,2622,1500,6409,82,42,7909,8033
METROPOLITANA SANTIAGO,CERRILLOS,2759,2941,3210,77,42,6151,6270
METROPOLITANA SANTIAGO,CERRO NAVIA,2760,5818,6117,183,69,11935,12187
LOS LAGOS,CHAITEN,2733,271,739,13,18,1010,1041
MAULE,CHANCO,2623,755,2279,31,14,3034,3079
ATACAMA,CHAÑARAL,2520,2562,2659,86,37,5221,5344
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,2603,908,3075,57,23,3983,4063
BIOBIO,CHIGUAYANTE,2644,4900,7341,260,63,12241,12564
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CHILE CHICO,2745,995,1425,29,26,2420,2475
ÑUBLE,CHILLAN,2826,9218,20101,367,129,29319,29815
ÑUBLE,CHILLAN VIEJO,2828,1182,2841,56,13,4023,4092
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,2604,2013,5380,99,56,7393,7548
LA ARAUCANIA,CHOLCHOL,2695,898,2553,75,24,3451,3550
LOS LAGOS,CHONCHI,2718,2182,4362,72,37,6544,6653
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CISNES,2740,286,268,0,11,554,565
ÑUBLE,COBQUECURA,2836,418,1234,22,9,1652,1683
LOS LAGOS,COCHAMO,2709,66,319,5,2,385,392
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,COCHRANE,2742,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,2580,1511,3159,74,34,4670,4778
ÑUBLE,COELEMU,2837,1021,3421,48,38,4442,4528
ÑUBLE,COIHUECO,2843,999,4957,67,30,5956,6053
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,2581,659,1381,48,22,2040,2110
MAULE,COLBUN,2635,1171,3347,51,29,4518,4598
TARAPACA,COLCHANE,2505,52,580,7,0,632,639
METROPOLITANA SANTIAGO,COLINA,2793,5364,16381,202,80,21745,22027
LA ARAUCANIA,COLLIPULLI,2697,1060,4716,79,47,5776,5902
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,2582,1179,2978,65,34,4157,4256
COQUIMBO,COMBARBALA,2537,715,1191,56,32,1906,1994
BIOBIO,CONCEPCION,2642,9629,15477,367,127,25106,25600
METROPOLITANA SANTIAGO,CONCHALI,2761,8847,8929,322,108,17776,18206
VALPARAISO,CONCON,2543,2116,4562,85,30,6678,6793
MAULE,CONSTITUCION,2613,2902,8457,182,84,11359,11625
BIOBIO,CONTULMO,2657,150,675,11,8,825,844
ATACAMA,COPIAPO,2517,6550,10137,253,113,16687,17053
COQUIMBO,COQUIMBO,2527,8179,11301,393,149,19480,20022
BIOBIO,CORONEL,2643,6489,13601,345,98,20090,20533
LOS RIOS,CORRAL,2811,502,715,19,10,1217,1246
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,COYHAIQUE,2737,2100,4285,69,55,6385,6509
LA ARAUCANIA,CUNCO,2677,2033,6134,131,62,8167,8360
LA ARAUCANIA,CURACAUTIN,2698,1178,4771,77,27,5949,6053
METROPOLITANA SANTIAGO,CURACAVI,2802,961,1448,43,14,2409,2466
LOS LAGOS,CURACO DE VELEZ,2719,323,720,15,20,1043,1078
BIOBIO,CURANILAHUE,2658,622,2127,22,12,2749,2783
LA ARAUCANIA,CURARREHUE,2678,294,797,33,12,1091,1136
MAULE,CUREPTO,2614,1166,2794,62,36,3960,4058
MAULE,CURICO,2625,14533,28876,599,236,43409,44244
LOS LAGOS,DALCAHUE,2720,1766,4578,65,56,6344,6465
ATACAMA,DIEGO DE ALMAGRO,2521,1689,1697,72,21,3386,3479
LIBERTADOR GENERAL BERNARDO O'HIGGINS,DOÑIHUE,2583,2420,4236,114,37,6656,6807
METROPOLITANA SANTIAGO,EL BOSQUE,2762,9754,11908,348,109,21662,22119
ÑUBLE,EL CARMEN,2829,552,2281,40,13,2833,2886
METROPOLITANA SANTIAGO,EL MONTE,2806,142,220,2,2,362,366
VALPARAISO,EL QUISCO,2566,235,299,8,2,534,544
VALPARAISO,EL TABO,2567,895,1002,31,13,1897,1941
MAULE,EMPEDRADO,2615,59,313,2,2,372,376
LA ARAUCANIA,ERCILLA,2699,146,523,13,4,669,686
METROPOLITANA SANTIAGO,ESTACION CENTRAL,2763,5653,6031,174,87,11684,11945
BIOBIO,FLORIDA,2645,871,3117,44,29,3988,4061
LA ARAUCANIA,FREIRE,2679,1008,3058,75,32,4066,4173
ATACAMA,FREIRINA,2524,639,747,24,12,1386,1422
LOS LAGOS,FRESIA,2710,713,2217,26,33,2930,2989
LOS LAGOS,FRUTILLAR,2711,527,1499,30,17,2026,2073
LOS LAGOS,FUTALEUFU,2734,102,278,4,5,380,389
LOS RIOS,FUTRONO,2819,732,2335,33,22,3067,3122
LA ARAUCANIA,GALVARINO,2680,659,1947,38,34,2606,2678
ARICA Y PARINACOTA,GENERAL LAGOS,2825,36,220,8,1,256,265
LA ARAUCANIA,GORBEA,2681,688,2682,44,24,3370,3438
LIBERTADOR GENERAL BERNARDO O'HIGGINS,GRANEROS,2584,2489,3921,99,44,6410,6553
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,GUAITECAS,2741,97,175,3,0,272,275
VALPARAISO,HIJUELAS,2560,880,1996,60,18,2876,2954
LOS LAGOS,HUALAIHUE,2735,463,1340,17,23,1803,1843
MAULE,HUALAÑE,2626,973,2106,51,24,3079,3154
BIOBIO,HUALPEN,2653,7552,12397,375,94,19949,20418
BIOBIO,HUALQUI,2646,1259,2913,53,20,4172,4245
TARAPACA,HUARA,2506,408,1231,27,3,1639,1669
ATACAMA,HUASCO,2525,791,846,27,12,1637,1676
METROPOLITANA SANTIAGO,HUECHURABA,2764,5671,7187,198,60,12858,13116
COQUIMBO,ILLAPEL,2532,1360,1984,62,33,3344,3439
METROPOLITANA SANTIAGO,INDEPENDENCIA,2765,5492,6758,169,84,12250,12503
TARAPACA,IQUIQUE,2501,6752,13229,278,89,19981,20348
METROPOLITANA SANTIAGO,ISLA DE MAIPO,2807,1065,1979,37,13,3044,3094
VALPARAISO,ISLA DE PASCUA,2548,0,0,0,0,0,0
VALPARAISO,JUAN FERNANDEZ,2544,85,55,4,2,140,146
METROPOLITANA SANTIAGO,LA CISTERNA,2766,6713,7694,224,56,14407,14687
VALPARAISO,LA CRUZ,2561,295,514,15,4,809,828
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LA ESTRELLA,2597,257,460,13,2,717,732
METROPOLITANA SANTIAGO,LA FLORIDA,2767,18678,19087,656,214,37765,38635
METROPOLITANA SANTIAGO,LA GRANJA,2768,8388,8270,304,82,16658,17044
COQUIMBO,LA HIGUERA,2529,140,192,4,3,332,339
VALPARAISO,LA LIGUA,2553,833,1046,21,10,1879,1910
METROPOLITANA SANTIAGO,LA PINTANA,2769,6377,7173,216,89,13550,13855
METROPOLITANA SANTIAGO,LA REINA,2770,3272,5330,74,52,8602,8728
COQUIMBO,LA SERENA,2526,10291,13773,452,155,24064,24671
LOS RIOS,LA UNION,2818,3325,8918,152,78,12243,12473
LOS RIOS,LAGO RANCO,2820,285,884,27,7,1169,1203
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,LAGO VERDE,2738,107,188,4,2,295,301
MAGALLANES Y LA ANTARTICA CHILENA,LAGUNA BLANCA,2748,158,347,4,3,505,512
BIOBIO,LAJA,2664,2009,5122,93,66,7131,7290
METROPOLITANA SANTIAGO,LAMPA,2794,2355,3868,83,22,6223,6328
LOS RIOS,LANCO,2812,1491,3316,91,47,4807,4945
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,2585,728,1512,35,15,2240,2290
METROPOLITANA SANTIAGO,LAS CONDES,2771,15536,61128,690,347,76664,77701
LA ARAUCANIA,LAUTARO,2682,1393,4465,98,31,5858,5987
BIOBIO,LEBU,2654,568,2067,46,20,2635,2701
MAULE,LICANTEN,2627,582,1093,19,9,1675,1703
VALPARAISO,LIMACHE,2576,1508,2635,76,24,4143,4243
MAULE,LINARES,2634,4092,10043,166,80,14135,14381
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LITUECHE,2598,517,844,24,12,1361,1397
VALPARAISO,LLAILLAY,2571,1133,1378,34,9,2511,2554
LOS LAGOS,LLANQUIHUE,2713,547,1448,34,11,1995,2040
METROPOLITANA SANTIAGO,LO BARNECHEA,2772,3617,21347,179,68,24964,25211
METROPOLITANA SANTIAGO,LO ESPEJO,2773,6404,6319,218,71,12723,13012
METROPOLITANA SANTIAGO,LO PRADO,2774,6936,6948,222,71,13884,14177
LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,2605,188,597,8,11,785,804
LA ARAUCANIA,LONCOCHE,2683,1579,4155,106,37,5734,5877
MAULE,LONGAVI,2636,1973,9266,134,65,11239,11438
LA ARAUCANIA,LONQUIMAY,2700,767,2810,63,23,3577,3663
BIOBIO,LOS ALAMOS,2659,464,1868,26,4,2332,2362
VALPARAISO,LOS ANDES,2549,3908,6138,153,53,10046,10252
BIOBIO,LOS ANGELES,2661,5549,21822,371,120,27371,27862
LOS RIOS,LOS LAGOS,2813,593,1773,26,18,2366,2410
LOS LAGOS,LOS MUERMOS,2712,337,1682,16,17,2019,2052
LA ARAUCANIA,LOS SAUCES,2701,152,856,15,5,1008,1028
COQUIMBO,LOS VILOS,2534,2273,3117,97,45,5390,5532
BIOBIO,LOTA,2647,3168,6853,180,67,10021,10268
LA ARAUCANIA,LUMACO,2702,646,3344,42,13,3990,4045
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALI,2586,1784,3211,79,32,4995,5106
METROPOLITANA SANTIAGO,MACUL,2775,4956,4693,143,58,9649,9850
LOS RIOS,MAFIL,2814,471,1622,33,12,2093,2138
METROPOLITANA SANTIAGO,MAIPU,2776,47431,45098,1383,404,92529,94316
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,2587,1140,3012,37,31,4152,4220
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MARCHIGUE,2599,650,1377,38,21,2027,2086
ANTOFAGASTA,MARIA ELENA,2516,507,763,33,6,1270,1309
METROPOLITANA SANTIAGO,MARIA PINTO,2803,264,464,20,8,728,756
LOS RIOS,MARIQUINA,2815,1534,3927,50,34,5461,5545
MAULE,MAULE,2616,1694,4823,93,40,6517,6650
LOS LAGOS,MAULLIN,2714,754,2313,51,38,3067,3156
ANTOFAGASTA,MEJILLONES,2509,1035,1505,27,13,2540,2580
LA ARAUCANIA,MELIPEUCO,2684,377,1117,23,15,1494,1532
METROPOLITANA SANTIAGO,MELIPILLA,2800,5082,10056,230,79,15138,15447
MAULE,MOLINA,2628,3526,7064,165,54,10590,10809
COQUIMBO,MONTE PATRIA,2538,2529,5453,134,60,7982,8176
LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,2588,1498,2389,61,22,3887,3970
BIOBIO,MULCHEN,2665,1591,5052,91,44,6643,6778
BIOBIO,"NACIMIENTO",2666,1715,6009,96,46,7724,7866
LIBERTADOR GENERAL BERNARDO O'HIGGINS,"NANCAGUA",2606,1106,2455,43,29,3561,3633
MAGALLANES Y LA ANTARTICA CHILENA,"NATALES",2756,6360,9013,274,142,15373,15789
LIBERTADOR GENERAL BERNARDO O'HIGGINS,"NAVIDAD",2600,827,1139,50,27,1966,2043
BIOBIO,NEGRETE,2667,251,1320,16,9,1571,1596
ÑUBLE,NINHUE,2838,387,1566,48,14,1953,2015
VALPARAISO,NOGALES,2562,854,1183,37,11,2037,2085
LA ARAUCANIA,NUEVA IMPERIAL,2685,1223,2872,79,25,4095,4199
ÑUBLE,ÑIQUEN,2844,875,3824,58,21,4699,4778
METROPOLITANA SANTIAGO,ÑUÑOA,2777,17347,17133,401,149,34480,35030
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,O'HIGGINS,2743,0,0,0,0,0,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,2589,1662,3863,84,35,5525,5644
ANTOFAGASTA,OLLAGUE,2513,0,0,0,0,0,0
VALPARAISO,OLMUE,2577,544,1012,32,6,1556,1594
LOS LAGOS,OSORNO,2726,7191,13757,319,106,20948,21373
COQUIMBO,OVALLE,2536,8757,16010,413,175,24767,25355
METROPOLITANA SANTIAGO,PADRE HURTADO,2808,3162,3725,102,32,6887,7021
LA ARAUCANIA,PADRE LAS CASAS,2686,2158,6264,142,53,8422,8617
NA,PAIHUANO,2530,366,657,24,2,1023,1049
