region,comuna,cod_com,apruebo,rechazo,nulo,blanco,votos_validos,votos_totales
VALPARAISO,ALGARROBO,2564,4483,7745,228,59,12228,12515
METROPOLITANA SANTIAGO,ALHUE,2801,1696,3030,94,34,4726,4854
BIOBIO,ALTO BIOBIO,2674,951,2300,98,77,3251,3426
ATACAMA,ALTO DEL CARMEN,2523,1220,2454,67,29,3674,3770
TARAPACA,ALTO HOSPICIO,2502,13197,33750,909,251,46947,48107
LOS LAGOS,ANCUD,2717,9966,21034,465,252,31000,31717
COQUIMBO,ANDACOLLO,2528,4425,5192,186,102,9617,9905
LA ARAUCANIA,ANGOL,2696,7390,30369,492,165,37759,38416
NA,ANTARTICA,2752,9,47,0,0,56,56
ANTOFAGASTA,ANTOFAGASTA,2508,83686,129377,3882,1356,213063,218301
BIOBIO,ANTUCO,2662,945,2659,67,26,3604,3697
BIOBIO,ARAUCO,2655,6176,18737,392,164,24913,25469
ARICA Y PARINACOTA,ARICA,2822,44219,87551,3099,857,131770,135726
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,AYSEN,2739,5704,9945,227,126,15649,16002
METROPOLITANA SANTIAGO,BUIN,2797,27545,45291,944,442,72836,74222
ÑUBLE,BULNES,2827,4153,13431,261,132,17584,17977
VALPARAISO,CABILDO,2554,6010,9112,243,124,15122,15489
NA,CABO DE HORNOS(EX-NAVARINO),2751,298,813,2,0,1111,1113
BIOBIO,CABRERO,2663,4008,16160,271,144,20168,20583
ANTOFAGASTA,CALAMA,2512,27903,67464,1854,483,95367,97704
LOS LAGOS,CALBUCO,2708,6813,19262,400,253,26075,26728
ATACAMA,CALDERA,2518,5993,7000,190,106,12993,13289
VALPARAISO,CALERA,2559,12670,16978,571,199,29648,30418
METROPOLITANA SANTIAGO,CALERA DE TANGO,2798,6826,12777,266,122,19603,19991
VALPARAISO,CALLE LARGA,2550,3839,6818,158,57,10657,10872
ARICA Y PARINACOTA,CAMARONES,2823,460,1123,28,6,1583,1617
TARAPACA,CAMIÑA,2504,172,1210,11,5,1382,1398
COQUIMBO,CANELA,2533,3482,4113,113,89,7595,7797
BIOBIO,CAÑETE,2656,5550,19555,344,179,25105,25628
LA ARAUCANIA,CARAHUE,2676,4654,14320,261,162,18974,19397
VALPARAISO,CARTAGENA,2565,5405,7689,243,87,13094,13424
VALPARAISO,CASABLANCA,2542,6814,13624,382,134,20438,20954
LOS LAGOS,CASTRO,2716,12326,20449,534,277,32775,33586
VALPARAISO,CATEMU,2570,3353,6819,143,81,10172,10396
MAULE,CAUQUENES,2622,5662,25487,377,165,31149,31691
METROPOLITANA SANTIAGO,CERRILLOS,2759,23264,26834,751,297,50098,51146
METROPOLITANA SANTIAGO,CERRO NAVIA,2760,44514,48170,1535,549,92684,94768
LOS LAGOS,CHAITEN,2733,859,2251,33,48,3110,3191
MAULE,CHANCO,2623,1557,6241,83,43,7798,7924
ATACAMA,CHAÑARAL,2520,4477,4730,154,67,9207,9428
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHEPICA,2603,3024,9665,154,82,12689,12925
BIOBIO,CHIGUAYANTE,2644,22378,35204,1072,350,57582,59004
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CHILE CHICO,2745,1448,1948,47,31,3396,3474
ÑUBLE,CHILLAN,2826,42425,91885,1768,694,134310,136772
ÑUBLE,CHILLAN VIEJO,2828,5885,14186,280,96,20071,20447
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CHIMBARONGO,2604,7673,19688,398,191,27361,27950
LA ARAUCANIA,CHOLCHOL,2695,2479,6990,184,65,9469,9718
LOS LAGOS,CHONCHI,2718,3552,7224,118,84,10776,10978
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,CISNES,2740,1043,1960,26,37,3003,3066
ÑUBLE,COBQUECURA,2836,1143,3507,61,26,4650,4737
LOS LAGOS,COCHAMO,2709,748,2532,43,37,3280,3360
AYSEN GENERAL CARLOS IBAÑEZ CAMPO,COCHRANE,2742,841,1398,52,23,2239,2314
LIBERTADOR GENERAL BERNARDO O'HIGGINS,CODEGUA,2580,3584,7122,183,82,10706,10971
ÑUBLE,COELEMU,2837,3074,9573,146,77,12647,12870
ÑUBLE,COIHUECO,2843,3671,17038,235,114,20709,21058
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COINCO,2581,2179,4447,122,63,6626,6811
MAULE,COLBUN,2635,4279,12367,226,111,16646,16983
TARAPACA,COLCHANE,2505,95,1696,26,0,1791,1817
METROPOLITANA SANTIAGO,COLINA,2793,23310,62344,872,406,85654,86932
LA ARAUCANIA,COLLIPULLI,2697,3350,14806,269,132,18156,18557
LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLTAUCO,2582,4674,10605,232,120,15279,15631
COQUIMBO,COMBARBALA,2537,3491,5759,218,133,9250,9601
BIOBIO,CONCEPCION,2642,62799,98512,2290,819,161311,164420
METROPOLITANA SANTIAGO,CONCHALI,2761,44823,46784,1668,584,91607,93859
VALPARAISO,CONCON,2543,12171,22869,510,215,35040,35765
MAULE,CONSTITUCION,2613,9328,25377,570,227,34705,35502
BIOBIO,CONTULMO,2657,926,3996,60,41,4922,5023
ATACAMA,COPIAPO,2517,38744,59824,1557,629,98568,100754
